Frame,Running Gait Cycle,Sub Phase,% Cycle,Trunk Lean,Front Knee Angle,Back Knee Angle,Front Hip Angle,Angle Each Body %,Result
64,5,Terminal Stance,75.0%,18.62 (Accurate ),42.96 (Accurate ),147.61 (Inaccurate ),8.18 (Inaccurate ),50.0 % ,Satisfactory
65,5,Terminal Stance,75.38%,16.87 (Accurate ),30.63 (Inaccurate ),141.38 (Inaccurate ),7.55 (Inaccurate ),25.0 % ,Should Improve
66,5,Terminal Stance,75.76%,13.34 (Accurate ),22.31 (Inaccurate ),134.28 (Inaccurate ),21.01 (Inaccurate ),25.0 % ,Should Improve
67,5,Terminal Stance,76.12%,7.76 (Accurate ),19.11 (Inaccurate ),124.64 (Inaccurate ),32.11 (Accurate ),50.0 % ,Satisfactory
68,5,Terminal Stance,76.47%,9.11 (Accurate ),22.82 (Inaccurate ),107.7 (Inaccurate ),33.55 (Accurate ),50.0 % ,Satisfactory
69,5,Terminal Stance,76.81%,9.31 (Accurate ),22.96 (Inaccurate ),105.12 (Inaccurate ),33.6 (Accurate ),50.0 % ,Satisfactory
70,5,Terminal Stance,77.14%,6.51 (Accurate ),32.08 (Inaccurate ),86.99 (Inaccurate ),34.4 (Accurate ),50.0 % ,Satisfactory
71,5,Terminal Stance,77.46%,11.53 (Accurate ),40.34 (Accurate ),66.11 (Accurate ),27.6 (Accurate ),100.0 % ,Good
72,5,Terminal Stance,77.78%,10.14 (Accurate ),46.94 (Accurate ),48.24 (Accurate ),28.43 (Accurate ),100.0 % ,Good
73,5,Terminal Stance,78.08%,3.06 (Inaccurate ),53.48 (Accurate ),29.45 (Inaccurate ),33.12 (Accurate ),50.0 % ,Satisfactory
74,5,Terminal Stance,78.38%,1.8 (Inaccurate ),54.79 (Accurate ),24.01 (Inaccurate ),33.41 (Accurate ),50.0 % ,Satisfactory
75,5,Terminal Swing,22.0%,-1.07 (Inaccurate ),59.8 (Inaccurate ),10.83 (Inaccurate ),35.46 (Accurate ),25.0 % ,Should Improve
76,5,Terminal Swing,22.37%,-0.47 (Inaccurate ),66.1 (Inaccurate ),8.16 (Inaccurate ),31.69 (Accurate ),25.0 % ,Should Improve
77,5,Terminal Swing,22.73%,5.61 (Accurate ),73.35 (Inaccurate ),11.51 (Inaccurate ),21.7 (Accurate ),50.0 % ,Satisfactory
78,5,Terminal Swing,23.08%,7.89 (Accurate ),86.64 (Inaccurate ),15.29 (Inaccurate ),8.17 (Accurate ),50.0 % ,Satisfactory
79,5,Terminal Swing,23.42%,9.14 (Accurate ),88.79 (Inaccurate ),17.35 (Inaccurate ),5.8 (Accurate ),50.0 % ,Satisfactory
80,5,Terminal Swing,23.75%,9.28 (Accurate ),99.96 (Accurate ),27.41 (Inaccurate ),5.26 (Accurate ),75.0 % ,Good
81,6,Terminal Stance,76.54%,10.38 (Accurate ),109.91 (Inaccurate ),70.0 (Accurate ),34.45 (Accurate ),75.0 % ,Good
82,6,Terminal Swing,23.78%,12.18 (Accurate ),127.14 (Accurate ),39.6 (Accurate ),40.28 (Accurate ),100.0 % ,Good
83,6,Terminal Swing,24.1%,10.34 (Accurate ),135.47 (Inaccurate ),47.12 (Accurate ),46.0 (Accurate ),75.0 % ,Good
